Region,crop type,Year, Area cultivated(Ha),Production(kg),Yeild (kg/ha)
Tigray,Teff,1996,87880,60827000,692
Tigray,Barely,1996,87350,81711000,935
Tigray,Wheat,1996,84550,84653000,1001
Tigray,Maize,1996,45050,67963000,1509
Tigray,Sorghum,1996,96140,172968000,1799
Tigray,Millet,1996,35780,24570000,687
Tigray,Oats,1996,,0,0
Tigray,Teff,1997,99500,77735000,781
Tigray,Barely,1997,55540,57987000,1044
Tigray,Wheat,1997,55360,55938000,1010
Tigray,Maize,1997,41740,82755000,1983
Tigray,Sorghum,1997,141190,234032000,1658
Tigray,Millet,1997,55430,54309000,980
Tigray,Oats,1997,,0,0
Tigray,Teff,1998,119340,69977000,586
Tigray,Barely,1998,52930,41914000,792
Tigray,Wheat,1998,42040,35324000,840
Tigray,Maize,1998,61560,95365000,1549
Tigray,Sorghum,1998,124330,126829000,1020
Tigray,Millet,1998,68090,58996000,866
Tigray,Oats,1998,,0,0
Tigray,Teff,1999,140830,113008000,802
Tigray,Barely,1999,78400,84442000,1077
Tigray,Wheat,1999,54940,57752000,1051
Tigray,Maize,1999,69870,131798000,1886
Tigray,Sorghum,1999,108690,145627000,1340
Tigray,Millet,1999,,75158000,0
Tigray,Oats,1999,460,0,0
Tigray,Teff,2000,126440,115440000,913
Tigray,Barely,2000,77900,81273000,1043
Tigray,Wheat,2000,70570,72074000,1021
Tigray,Maize,2000,75550,134492000,1780
Tigray,Sorghum,2000,81570,104165000,1277
Tigray,Millet,2000,57210,58095000,1015
Tigray,Oats,2000,,0,0
Tigray,Teff,2001,141010,104801000,743
Tigray,Barely,2001,65360,57253000,876
Tigray,Wheat,2001,73320,68180000,930
Tigray,Maize,2001,55680,86059000,1546
Tigray,Sorghum,2001,134360,171080000,1273
Tigray,Millet,2001,65090,61811000,950
Tigray,Oats,2001,,0,0
Tigray,Teff,2002,124698.64,102850035,825
Tigray,Barely,2002,53237.55,58908878,1107
Tigray,Wheat,2002,63215.93,74480182,1178
Tigray,Maize,2002,52217.67,89497201,1714
Tigray,Sorghum,2002,114058.73,192349234,1686
Tigray,Millet,2002,54693.25,58577450,1071
Tigray,Oats,2002,404.09,315376,780
Tigray,Teff,2004,136740,104756500,766
Tigray,Barely,2004,76521,82077000,1073
Tigray,Wheat,2004,74466,86668600,1164
Tigray,Maize,2004,43622,63784300,1462
Tigray,Sorghum,2004,128927,194205000,1506
Tigray,Millet,2004,51709,54081000,1046
Tigray,Oats,2004,,0,0
Tigray,Teff,2005,137360,88176500,642
Tigray,Barely,2005,95453,77779500,815
Tigray,Wheat,2005,87785,85900500,979
Tigray,Maize,2005,47200,53918300,1142
Tigray,Sorghum,2005,142038,183866700,1294
Tigray,Millet,2005,55595,45147600,812
Tigray,Oats,2005,,0,0
Tigray,Teff,2006,138346.23,124421256,899
Tigray,Barely,2006,79107.68,87747333,1109
Tigray,Wheat,2006,76775.57,100698481,1312
Tigray,Maize,2006,46192.02,293483263,1739
Tigray,Sorghum,2006,184010.83,69563027,1595
Tigray,Millet,2006,60736.95,567289,1145
Tigray,Oats,2006,677.77,567289,837
Tigray,Teff,2007,160740.57,157359904,979
Tigray,Barely,2007,101575.87,121058747,1192
Tigray,Wheat,2007,100140.38,148062729,1479
Tigray,Maize,2007,58613.21,102667972,1752
Tigray,Sorghum,2007,207488.92,334506297,1612
Tigray,Millet,2007,75978.09,97056673,1277
Tigray,Oats,2007,,576380,0
Tigray,Teff,2008,178742.14,228303114,1277
Tigray,Barely,2008,114923.43,156680340,1363
Tigray,Wheat,2008,103956.9,147749567,1421
Tigray,Maize,2008,63265.83,94239653,1490
Tigray,Sorghum,2008,170504.48,270916987,1589
Tigray,Millet,2008,77848.4,104191123,1338
Tigray,Oats,2008,,0,0
Tigray,Teff,2009,183376.2,232760780,1269
Tigray,Barely,2009,97460.26,147775370,1516
Tigray,Wheat,2009,101092.5,138719280,1372
Tigray,Maize,2009,64275.12,111607170,1736
Tigray,Sorghum,2009,180027.8,305566660,1697
Tigray,Millet,2009,7978.41,104199090,1306
Tigray,Oats,2009,,0,0
Tigray,Teff,2010,187858.61,203999398,1086
Tigray,Barely,2010,106787.74,144049611,1349
Tigray,Wheat,2010,113595.76,177164359,1560
Tigray,Maize,2010,64649.07,82229813,1272
Tigray,Sorghum,2010,155420.96,280858700,1807
Tigray,Millet,2010,64612.04,74160596,1148
Tigray,Oats,2010,,0,0
Tigray,Teff,2011,165803.79,209506676,1264
Tigray,Barely,2011,90648.61,163385776,1802
Tigray,Wheat,2011,100175.69,192507914,1922
Tigray,Maize,2011,62857.22,149852718,2384
Tigray,Sorghum,2011,216878.62,466394047,2150
Tigray,Millet,2011,76065.32,124103018,1632
Tigray,Oats,2011,,0,0
Tigray,Teff,2012,152740.04,193845690,1269
Tigray,Barely,2012,99453.31,164003891,1649
Tigray,Wheat,2012,105308.56,200169578,1901
Tigray,Maize,2012,64803.39,153610800,2370
Tigray,Sorghum,2012,215142.84,473678177,2202
Tigray,Millet,2012,76654.62,133789707,1745
Tigray,Oats,2012,,0,0
Tigray,Teff,2013,161798.11,212223454,1312
Tigray,Barely,2013,98162.52,158810944,1618
Tigray,Wheat,2013,111846.34,205272449,1835
Tigray,Maize,2013,69026.2,161159543,2335
Tigray,Sorghum,2013,208390.45,505138377,2424
Tigray,Millet,2013,78663.67,139174988,1769
Tigray,Oats,2013,,0,0
Tigray,Teff,2014,185337.29,246551795,1330
Tigray,Barely,2014,96577.17,160265852,1659
Tigray,Wheat,2014,112818.67,205033333,1817
Tigray,Maize,2014,65201.64,148599268,2279
Tigray,Sorghum,2014,215111.82,546322532,2540
Tigray,Millet,2014,82129.65,156317271,1903
Tigray,Oats,2014,,0,0
Tigray,Teff,2015,184848.49,263601790,1426
Tigray,Barely,2015,99052.22,169542113,1712
Tigray,Wheat,2015,108865.39,203459405,1869
Tigray,Maize,2015,64197.01,159149435,2479
Tigray,Sorghum,2015,224367.43,610662690,2722
Tigray,Millet,2015,83131.78,187564271,2256
Tigray,Oats,2015,,0,0
Tigray,Teff,2016,162782.72,189825933,1166
Tigray,Barely,2016,99423.28,157174532,1581
Tigray,Wheat,2016,102847.97,176096635,1712
Tigray,Maize,2016,62640,137908952,2202
Tigray,Sorghum,2016,239371.58,624644832,2610
Tigray,Millet,2016,84280.34,150614872,1787
Tigray,Oats,2016,,0,0
Tigray,Teff,2017,167584.33,241011677,1438
Tigray,Barely,2017,95462.96,169572540,1776
Tigray,Wheat,2017,107724.17,212867257,1976
Tigray,Maize,2017,66451.95,169801363,2555
Tigray,Sorghum,2017,253757.11,712005432,2806
Tigray,Millet,2017,86613.23,196044168,2263
Tigray,Oats,2017,,0,0
Tigray,Teff,2018,167748.72,257906058,1537
Tigray,Barely,2018,94725.02,169417980,1789
Tigray,Wheat,2018,107929.86,214003144,1983
Tigray,Maize,2018,62161.78,159056125,2559
Tigray,Sorghum,2018,254655.92,726271779,2852
Tigray,Millet,2018,82021.79,185826511,2266
Tigray,Oats,2018,,0,0
Tigray,Teff,2019,176545.98,283833741,1608
Tigray,Barely,2019,91579.93,168685384,1842
Tigray,Wheat,2019,119580.03,251411295,2102
Tigray,Maize,2019,67675.62,173597203,2565
Tigray,Sorghum,2019,242716.17,709250941,2922
Tigray,Millet,2019,85575.12,205423561,2401
Tigray,Oats,2019,203.83,408743,2005
Tigray,Teff,2020,166718.86,279081158,1674
Tigray,Barely,2020,94845.64,176359549,1859
Tigray,Wheat,2020,121471.1,259339841,2135
Tigray,Maize,2020,69865.24,188645136,2700
Tigray,Sorghum,2020,239044.72,720625344,3015
Tigray,Millet,2020,84868.47,213906149,2520
Tigray,Oats,2020,,0,0
Tigray,Teff,2021,188391.88,311753877,1655
Tigray,Barely,2021,85431.88,160688813,1881
Tigray,Wheat,2021,102258.28,223907183,2190
Tigray,Maize,2021,80151.64,246465394,3075
Tigray,Sorghum,2021,232636.49,700856077,3013
Tigray,Millet,2021,9199.73,215725616,2392
Tigray,Oats,2021,,0,0
Tigray,Teff,2022,,0,0
Tigray,Barely,2022,,0,0
Tigray,Wheat,2022,,0,0
Tigray,Maize,2022,,0,0
Tigray,Sorghum,2022,,0,0
Tigray,Millet,2022,,0,0
Tigray,Oats,2022,,0,0
Afar,Teff,1996,4820,3331000,691
Afar,Barely,1996,,0,0
Afar,Wheat,1996,,0,0
Afar,Maize,1996,4500,3636000,808
Afar,Sorghum,1996,13160,11564000,879
Afar,Millet,1996,,0,0
Afar,Oats,1996,,0,0
Afar,Teff,1997,,0,0
Afar,Barely,1997,,0,0
Afar,Wheat,1997,,0,0
Afar,Maize,1997,1470,1360000,925
Afar,Sorghum,1997,19860,0,0
Afar,Millet,1997,,0,0
Afar,Oats,1997,,0,0
Afar,Teff,1998,4660,2199000,472
Afar,Barely,1998,,0,0
Afar,Wheat,1998,,0,0
Afar,Maize,1998,5260,5934000,1128
Afar,Sorghum,1998,4310,2775000,644
Afar,Millet,1998,,0,0
Afar,Oats,1998,,0,0
Afar,Teff,1999,,5080000,2769
Afar,Barely,1999,,0,0
Afar,Wheat,1999,,0,0
Afar,Maize,1999,3390,5754000,3136
Afar,Sorghum,1999,,6434000,3507
